0.005	0.1	23
0.005	0.2	22
0.005	0.3	20
0.005	0.4	20
0.005	0.5	19
0.005	0.6	19
0.005	0.7	17
0.005	0.8	14
0.005	0.9	14
0.005	1	14


0.01	0.1	16
0.01	0.2	12
0.01	0.3	12
0.01	0.4	12
0.01	0.5	11
0.01	0.6	11
0.01	0.7	11
0.01	0.8	11
0.01	0.9	11
0.01	1	11


0.02	0.1	10
0.02	0.2	10
0.02	0.3	10
0.02	0.4	9
0.02	0.5	9
0.02	0.6	9
0.02	0.7	9
0.02	0.8	8
0.02	0.9	8
0.02	1	7


0.03	0.1	10
0.03	0.2	8
0.03	0.3	6
0.03	0.4	5
0.03	0.5	5
0.03	0.6	4
0.03	0.7	4
0.03	0.8	4
0.03	0.9	4
0.03	1	4


0.04	0.1	9
0.04	0.2	4
0.04	0.3	4
0.04	0.4	3
0.04	0.5	3
0.04	0.6	3
0.04	0.7	2
0.04	0.8	2
0.04	0.9	2
0.04	1	2


0.05	0.1	6
0.05	0.2	3
0.05	0.3	3
0.05	0.4	2
0.05	0.5	2
0.05	0.6	2
0.05	0.7	2
0.05	0.8	2
0.05	0.9	2
0.05	1	2


0.06	0.1	4
0.06	0.2	2
0.06	0.3	2
0.06	0.4	2
0.06	0.5	2
0.06	0.6	2
0.06	0.7	2
0.06	0.8	2
0.06	0.9	2
0.06	1	2


0.07	0.1	2
0.07	0.2	2
0.07	0.3	2
0.07	0.4	2
0.07	0.5	2
0.07	0.6	2
0.07	0.7	2
0.07	0.8	2
0.07	0.9	2
0.07	1	2


0.08	0.1	3
0.08	0.2	2
0.08	0.3	2
0.08	0.4	2
0.08	0.5	2
0.08	0.6	2
0.08	0.7	2
0.08	0.8	2
0.08	0.9	2
0.08	1	2


0.09	0.1	3
0.09	0.2	2
0.09	0.3	2
0.09	0.4	2
0.09	0.5	2
0.09	0.6	2
0.09	0.7	2
0.09	0.8	2
0.09	0.9	2
0.09	1	2


0.1	0.1	3
0.1	0.2	2
0.1	0.3	2
0.1	0.4	2
0.1	0.5	2
0.1	0.6	2
0.1	0.7	2
0.1	0.8	2
0.1	0.9	2
0.1	1	2


0.2	0.1	2
0.2	0.2	1
0.2	0.3	1
0.2	0.4	1
0.2	0.5	1
0.2	0.6	1
0.2	0.7	1
0.2	0.8	1
0.2	0.9	1
0.2	1	1
