0.005	0.1	14
0.005	0.2	15
0.005	0.3	15
0.005	0.4	15
0.005	0.5	15
0.005	0.6	15
0.005	0.7	15
0.005	0.8	15
0.005	0.9	15
0.005	1	15


0.01	0.1	12
0.01	0.2	11
0.01	0.3	12
0.01	0.4	12
0.01	0.5	13
0.01	0.6	13
0.01	0.7	13
0.01	0.8	13
0.01	0.9	13
0.01	1	13


0.02	0.1	11
0.02	0.2	12
0.02	0.3	12
0.02	0.4	12
0.02	0.5	12
0.02	0.6	12
0.02	0.7	12
0.02	0.8	12
0.02	0.9	12
0.02	1	12


0.03	0.1	10
0.03	0.2	10
0.03	0.3	10
0.03	0.4	10
0.03	0.5	10
0.03	0.6	10
0.03	0.7	10
0.03	0.8	10
0.03	0.9	9
0.03	1	9


0.04	0.1	10
0.04	0.2	9
0.04	0.3	9
0.04	0.4	9
0.04	0.5	9
0.04	0.6	9
0.04	0.7	9
0.04	0.8	9
0.04	0.9	8
0.04	1	8


0.05	0.1	10
0.05	0.2	9
0.05	0.3	9
0.05	0.4	9
0.05	0.5	9
0.05	0.6	9
0.05	0.7	9
0.05	0.8	9
0.05	0.9	8
0.05	1	8


0.06	0.1	10
0.06	0.2	9
0.06	0.3	9
0.06	0.4	9
0.06	0.5	9
0.06	0.6	9
0.06	0.7	9
0.06	0.8	9
0.06	0.9	8
0.06	1	8


0.07	0.1	10
0.07	0.2	9
0.07	0.3	9
0.07	0.4	9
0.07	0.5	9
0.07	0.6	9
0.07	0.7	9
0.07	0.8	9
0.07	0.9	8
0.07	1	8


0.08	0.1	10
0.08	0.2	9
0.08	0.3	9
0.08	0.4	9
0.08	0.5	9
0.08	0.6	8
0.08	0.7	8
0.08	0.8	7
0.08	0.9	7
0.08	1	5


0.09	0.1	10
0.09	0.2	9
0.09	0.3	9
0.09	0.4	9
0.09	0.5	9
0.09	0.6	8
0.09	0.7	8
0.09	0.8	7
0.09	0.9	7
0.09	1	4


0.1	0.1	10
0.1	0.2	9
0.1	0.3	8
0.1	0.4	8
0.1	0.5	8
0.1	0.6	6
0.1	0.7	6
0.1	0.8	4
0.1	0.9	3
0.1	1	3


0.2	0.1	7
0.2	0.2	6
0.2	0.3	4
0.2	0.4	3
0.2	0.5	1
0.2	0.6	1
0.2	0.7	1
0.2	0.8	1
0.2	0.9	1
0.2	1	1
